parent|child|cont_jacc|containment|jaccard
ckan_keywords_2011|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_2015|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_2015 games|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_aboriginal lands|ckan_subject_government_and_politics|47.875000000000064|1.0|0.02088772845953
ckan_keywords_abundance|ckan_keywords_british columbia|115.00000000000004|1.0|0.00869565217391304
ckan_keywords_acan|ckan_subject_economics_and_industry|133.00000000000006|1.0|0.0075187969924812
ckan_keywords_accident|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_aerial survey|ckan_keywords_british columbia|115.00000000000004|1.0|0.00869565217391304
ckan_keywords_agricultural land|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_agricultural regions|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_agriculture|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_aids|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_air|ckan_subject_nature_and_environment|23.999999999999982|1.0|0.0416666666666667
ckan_keywords_air and climate|ckan_keywords_province|20.000000000000025|0.153846153846154|0.00769230769230769
ckan_keywords_air pollutant emission inventory|ckan_keywords_province|62.75|0.5|0.00796812749003984
ckan_keywords_air pollutants|ckan_keywords_province|25.699999999999985|0.2|0.00778210116731518
ckan_keywords_air pollution|ckan_keywords_province|21.583333333333382|0.166666666666667|0.00772200772200772
ckan_keywords_air quality|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_air temperature|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_altimeter|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_ambient levels|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_ambient temperature|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_ammonia|ckan_keywords_province|42.166666666666615|0.333333333333333|0.00790513833992095
ckan_keywords_annual index|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_appeal|ckan_subject_law|5.9999999999999885|1.0|0.166666666666667
ckan_keywords_appeal decisions|ckan_keywords_day parole|2.5|1.0|0.4
ckan_keywords_appeal decisions|ckan_keywords_detention|2.5|1.0|0.4
ckan_keywords_appeal decisions|ckan_keywords_escorted temporary absence|2.5|1.0|0.4
ckan_keywords_appeal decisions|ckan_keywords_full parole|2.5|1.0|0.4
ckan_keywords_appeal decisions|ckan_keywords_long term supervision|2.5|1.0|0.4
ckan_keywords_appeal decisions|ckan_keywords_one chance statutory release|2.5|1.0|0.4
ckan_keywords_appeal decisions|ckan_keywords_parole|3.000000000000003|1.0|0.333333333333333
ckan_keywords_appeal decisions|ckan_keywords_revocation|2.5|1.0|0.4
ckan_keywords_appeal decisions|ckan_keywords_suspension|2.5|1.0|0.4
ckan_keywords_appeal decisions|ckan_keywords_unescorted temporary absence|2.5|1.0|0.4
ckan_keywords_appeal decisions|ckan_subject_law|5.9999999999999885|1.0|0.166666666666667
ckan_keywords_aquaculture|ckan_keywords_british columbia|76.66666666666647|1.0|0.0130434782608696
ckan_keywords_arson|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_assess status of species|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_atlantic - prince edward island (pe)|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_atmospheric monitoring|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_automated stations|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_availability|ckan_subject_science_and_technology|25.0|1.0|0.04
ckan_keywords_avalanche|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_average density|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_average wage|ckan_subject_labour|125.0|1.0|0.008
ckan_keywords_aviation|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_awards|ckan_subject_economics_and_industry|133.00000000000006|1.0|0.0075187969924812
ckan_keywords_awos|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_bc|ckan_keywords_british columbia|76.66666666666647|1.0|0.0130434782608696
ckan_keywords_benefits|ckan_subject_society_and_culture|14.999999999999995|1.0|0.0666666666666667
ckan_keywords_bibliographic information|ckan_subject_nature_and_environment|72.50000000000001|0.5|0.00689655172413793
ckan_keywords_biological|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_bird species|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_birds|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_bomb|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_boucherville islands|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_british columbia|ckan_keywords_lampetra richardsoni; variety marifuga|230.00000000000009|1.0|0.00434782608695652
ckan_keywords_british columbia|ckan_keywords_morrison creek lamprey|230.00000000000009|1.0|0.00434782608695652
ckan_keywords_british columbia|ckan_keywords_species at risk|230.00000000000009|1.0|0.00434782608695652
ckan_keywords_british columbia|ckan_keywords_wildlife|33.571428571428605|0.285714285714286|0.00851063829787234
ckan_keywords_british columbia|ckan_topiccategory_inland_waters|230.00000000000009|1.0|0.00434782608695652
ckan_keywords_british columbia (bc)|ckan_keywords_british columbia|115.49999999999997|0.5|0.00432900432900433
ckan_keywords_broadband|ckan_subject_science_and_technology|25.0|1.0|0.04
ckan_keywords_business|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_canada pension plan|ckan_subject_society_and_culture|9.000000000000009|1.0|0.111111111111111
ckan_keywords_canada student loan|ckan_subject_education_and_training|49.00000000000006|1.0|0.0204081632653061
ckan_keywords_canada warbler|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_canadian arctic|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_canadian environmental protection act|ckan_subject_nature_and_environment|23.999999999999982|1.0|0.0416666666666667
ckan_keywords_canadian radiological monitoring network|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_canadian radiological monitoring network|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_canadian rivers|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_cansim|ckan_subject_information_and_communications|35.428571428571466|0.761904761904762|0.021505376344086
ckan_keywords_cansim|ckan_subject_law|31.29166666666664|0.5|0.0159786950732357
ckan_keywords_cansim|ckan_subject_transport|20.638888888888893|0.888888888888889|0.0430686406460296
ckan_keywords_carbon monoxide|ckan_keywords_province|62.75|0.5|0.00796812749003984
ckan_keywords_catastrophe|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_census of population|ckan_keywords_education|5.800000000000009|1.0|0.172413793103448
ckan_keywords_charadriiformes|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_charadriiformes|ckan_subject_science_and_technology|50.0|1.0|0.02
ckan_keywords_chemical|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_climate|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_cloud amount|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_cloud height|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_cloud opacity|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_conditional release|ckan_keywords_appeal|3.000000000000003|1.0|0.333333333333333
