parent|child|mi|containment|jaccard|dotproduct|card1|card2|size1|size2
ckan_keywords_aboriginal lands|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_keywords_aboriginal rights|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_keywords_agreements|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_keywords_boundaries|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_keywords_comprehensive land claim|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_keywords_indians|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_keywords_indigenous|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_keywords_self-government|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_keywords_settlement lands|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_subject_form_descriptors|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_topiccategory_boundaries|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_topiccategory_location|ckan_keywords_aboriginal peoples|0.0366322587456|1.0|1.0|0.0408163265306|2|2|2064|2064
ckan_keywords_accelerated parole review|ckan_keywords_conditional release|0.0286827349426|1.0|0.5|0.0136054421769|2|4|2064|2064
ckan_keywords_accident|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_accumulated profits|ckan_keywords_accumulated losses|0.0110980843898|1.0|1.0|0.0102040816327|2|2|2064|2064
ckan_keywords_capital stock|ckan_keywords_accumulated losses|0.0110980843898|1.0|1.0|0.0102040816327|2|2|2064|2064
ckan_keywords_contributed surplus|ckan_keywords_accumulated losses|0.0110980843898|1.0|1.0|0.0102040816327|2|2|2064|2064
ckan_keywords_enterprise crown corporations|ckan_keywords_accumulated losses|0.0110980843898|1.0|1.0|0.0102040816327|2|2|2064|2064
ckan_keywords_financial|ckan_keywords_accumulated losses|0.0110980843898|1.0|1.0|0.0102040816327|2|2|2064|2064
ckan_keywords_financial position|ckan_keywords_accumulated losses|0.0110980843898|1.0|1.0|0.0102040816327|2|2|2064|2064
ckan_keywords_government business enterprises|ckan_keywords_accumulated losses|0.0110980843898|1.0|1.0|0.0102040816327|2|2|2064|2064
ckan_keywords_non-financial|ckan_keywords_accumulated losses|0.0110980843898|1.0|1.0|0.0102040816327|2|2|2064|2064
ckan_keywords_accumulated losses|ckan_keywords_receiver general|0.0110980843898|1.0|0.181818181818182|0.0102040816327|2|4|2064|2064
ckan_keywords_third parties|ckan_keywords_accumulated losses|0.0110980843898|1.0|1.0|0.0102040816327|2|2|2064|2064
ckan_keywords_acet|ckan_subject_information_and_communications|0.00603370772761|1.0|0.0476190476190476|0.0277777777778|2|4|2064|2064
ckan_keywords_advertising campaign evaluation|ckan_subject_information_and_communications|0.00603370772761|1.0|0.0476190476190476|0.0277777777778|2|4|2064|2064
ckan_keywords_atmospheric forcing index|ckan_keywords_afi|0.0110980843898|1.0|1.0|0.08|2|2|2064|2064
ckan_keywords_afi|ckan_keywords_pacific|0.0110980843898|1.0|0.333333333333333|0.08|2|4|2064|2064
ckan_keywords_aids|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.00390625|2|5|2064|2064
ckan_keywords_mercury|ckan_keywords_air|0.0110980843898|1.0|0.333333333333333|0.00413223140496|3|2|2064|2064
ckan_keywords_methylmercury|ckan_keywords_air|0.0202568283567|1.0|0.666666666666667|0.01108033241|3|2|2064|2064
ckan_keywords_pb|ckan_keywords_air|0.0202568283567|1.0|0.666666666666667|0.00967239760994|3|3|2064|2064
ckan_keywords_releases|ckan_keywords_air|0.0313521995765|1.0|1.0|0.0152125638149|3|3|2064|2064
ckan_keywords_toxic metals|ckan_keywords_air|0.0110980843898|1.0|0.333333333333333|0.00413223140496|3|2|2064|2064
ckan_keywords_air pollutants|ckan_keywords_air and climate|0.0535388650078|1.0|0.769230769230769|0.0537608294703|5|6|2064|2064
ckan_keywords_air quality|ckan_keywords_air pollutants|0.0110980843898|1.0|0.2|0.02|5|2|2064|2064
ckan_keywords_alberta|ckan_keywords_canada revenue agency|0.493983578835|1.0|0.835205992509363|0.87109375|2|4|2064|2064
ckan_keywords_northwest territory|ckan_keywords_alberta|0.493983578835|1.0|1.0|0.87109375|2|2|2064|2064
ckan_keywords_saskatchewan|ckan_keywords_alberta|0.493983578835|1.0|1.0|0.87109375|2|2|2064|2064
ckan_keywords_yukon|ckan_keywords_alberta|0.493983578835|1.0|1.0|0.87109375|2|2|2064|2064
ckan_keywords_ambient levels|ckan_keywords_air pollutants|0.0110980843898|1.0|0.2|0.02|2|5|2064|2064
ckan_keywords_ammonia|ckan_keywords_nitrogen oxides|0.0313521995765|1.0|0.75|0.00862658595807|3|4|2064|2064
ckan_keywords_annual index|ckan_keywords_canada|0.0202568283567|1.0|0.137931034482759|0.0236686390533|2|4|2064|2064
ckan_keywords_aquaculture|ckan_keywords_british columbia|0.0157963820015|1.0|0.0130434782608696|0.046875|2|6|2064|2064
ckan_keywords_arson|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_avalanche|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_average density|ckan_topiccategory_biota|0.00603370772761|1.0|0.1|0.00346020761246|2|6|2064|2064
ckan_keywords_bc|ckan_keywords_british columbia|0.0157963820015|1.0|0.0130434782608696|0.046875|2|6|2064|2064
ckan_keywords_citations|ckan_keywords_bibliographic information|0.0120670766379|1.0|1.0|0.0279706790123|3|3|2064|2064
ckan_keywords_journal articles|ckan_keywords_bibliographic information|0.0120670766379|1.0|1.0|0.0279706790123|3|3|2064|2064
ckan_keywords_periodicals|ckan_keywords_bibliographic information|0.0120670766379|1.0|1.0|0.0279706790123|3|3|2064|2064
ckan_keywords_publications|ckan_keywords_bibliographic information|0.0120670766379|1.0|1.0|0.0279706790123|3|3|2064|2064
ckan_keywords_publishing|ckan_keywords_bibliographic information|0.0120670766379|1.0|1.0|0.0279706790123|3|3|2064|2064
ckan_keywords_bibliographic information|ckan_subject_persons|0.00605924724228|0.5|0.0131578947368421|0.0123456790123|3|5|2064|2064
ckan_keywords_protect species well-being|ckan_keywords_birds|0.0241327973489|1.0|1.0|0.0414308866248|5|5|2064|2064
ckan_keywords_british columbia (bc)|ckan_topiccategory_biota|0.0120670766379|1.0|0.2|0.0117246704224|3|6|2064|2064
ckan_keywords_business|ckan_keywords_emissions|0.0202568283567|1.0|0.222222222222222|0.00308641975309|2|6|2064|2064
ckan_keywords_business function|ckan_keywords_supply arrangements|0.00603370772761|1.0|0.111111111111111|0.00111111111111|2|3|2064|2064
ckan_keywords_cadmium|ckan_keywords_air|0.0202568283567|1.0|0.666666666666667|0.00967239760994|3|3|2064|2064
ckan_keywords_cd|ckan_keywords_cadmium|0.0221948128528|1.0|1.0|0.00967239760994|3|3|2064|2064
ckan_keywords_calendar year|ckan_keywords_canada|0.0914016201474|1.0|0.827586206896552|0.0495867768595|2|4|2064|2064
ckan_keywords_2011|ckan_keywords_canada|0.0202568283567|1.0|0.137931034482759|0.0236686390533|4|2|2064|2064
ckan_keywords_acres|ckan_keywords_canada|0.00603370772761|1.0|0.0344827586206897|0.00826446280992|4|2|2064|2064
ckan_keywords_bird|ckan_keywords_canada|0.0202568283567|1.0|0.137931034482759|0.0236686390533|4|2|2064|2064
ckan_keywords_goods and services tax|ckan_keywords_canada|0.0914016201474|1.0|0.827586206896552|0.0495867768595|4|2|2064|2064
ckan_keywords_gst-hst|ckan_keywords_canada|0.0914016201474|1.0|0.827586206896552|0.0495867768595|4|2|2064|2064
ckan_keywords_gst-hst collected|ckan_keywords_canada|0.0914016201474|1.0|0.827586206896552|0.0495867768595|4|2|2064|2064
ckan_keywords_gst-hst credits|ckan_keywords_canada|0.0914016201474|1.0|0.827586206896552|0.0495867768595|4|2|2064|2064
ckan_keywords_harmonised sales tax|ckan_keywords_canada|0.0914016201474|1.0|0.827586206896552|0.0495867768595|4|2|2064|2064
ckan_keywords_income statistics|ckan_keywords_canada|0.0914016201474|1.0|0.827586206896552|0.0495867768595|4|2|2064|2064
ckan_keywords_input tax credits|ckan_keywords_canada|0.0914016201474|1.0|0.827586206896552|0.0495867768595|4|2|2064|2064
ckan_keywords_nature conservation|ckan_keywords_canada|0.0202568283567|1.0|0.137931034482759|0.0236686390533|4|2|2064|2064
ckan_keywords_population trend|ckan_keywords_canada|0.0202568283567|1.0|0.137931034482759|0.0236686390533|4|2|2064|2064
ckan_keywords_prairie provinces|ckan_keywords_canada|0.00603370772761|1.0|0.0344827586206897|0.00826446280992|4|2|2064|2064
ckan_keywords_cpp|ckan_keywords_canada pension plan|0.0268924320076|1.0|1.0|0.409722222222|3|3|2064|2064
