parent|child|mi|containment|jaccard|dotproduct|card1|card2|size1|size2
ckan_keywords_2011|ckan_keywords_canada|0.00767537494433|1.0|0.0952380952380952|0.0236686390533|2|6|6285|6285
ckan_keywords_environment and climate change canada|ckan_keywords_2015|0.0592890405228|1.0|1.0|0.0321670088154|3|3|6285|6285
ckan_keywords_2015 games|ckan_topiccategory_environment|0.0592890405228|1.0|0.475|0.0321670088154|3|16|6285|6285
ckan_keywords_first nations|ckan_keywords_aboriginal peoples|0.0205995256393|0.928571428571429|0.351351351351351|0.05078125|5|2|6285|6285
ckan_keywords_acan|ckan_keywords_supply arrangements|0.0140772932345|1.0|0.363636363636364|0.0151228733459|2|6|6285|6285
ckan_keywords_access to information|ckan_subject_government_and_politics|0.130672657601|1.0|0.1005859375|2.33786848073|3|19|6285|6285
ckan_keywords_accounting|ckan_subject_economics_and_industry|0.0578927960769|1.0|0.0151788941091435|0.12962962963|2|21|6285|6285
ckan_keywords_non-financial|ckan_keywords_accumulated losses|0.00415597852032|1.0|1.0|0.0102040816327|2|2|6285|6285
ckan_keywords_non-financial|ckan_keywords_accumulated profits|0.00415597852032|1.0|1.0|0.0102040816327|2|2|6285|6285
ckan_keywords_acres|ckan_subject_agriculture|0.00933801906022|1.0|0.0213675213675214|0.0413223140496|2|8|6285|6285
ckan_keywords_acrylamide|ckan_subject_health_and_safety|0.00223711651412|1.0|0.00224719101123596|0.00346020761246|2|10|6285|6285
ckan_keywords_active status|ckan_subject_government_and_politics|0.00767537494433|1.0|0.00390625|0.00216333153056|2|19|6285|6285
ckan_keywords_activity|ckan_subject_health_and_safety|0.0140772932345|1.0|0.0179775280898876|0.00274348422497|2|10|6285|6285
ckan_keywords_ad-hoc initiatives|ckan_keywords_export|0.00223711651412|1.0|0.0333333333333333|0.0016|2|3|6285|6285
ckan_keywords_minimum hourly wage rates|ckan_keywords_adult workers|0.00595469460432|1.0|1.0|0.333333333333|2|2|6285|6285
ckan_keywords_adult workers|ckan_subject_labour|0.00543836803346|1.0|0.00845070422535211|0.333333333333|2|12|6285|6285
ckan_keywords_applicants|ckan_keywords_advertisements|0.00933801906022|1.0|1.0|0.0617283950617|2|2|6285|6285
ckan_keywords_applications|ckan_keywords_advertisements|0.00933801906022|1.0|1.0|0.0617283950617|2|2|6285|6285
ckan_keywords_advertising|ckan_keywords_jobs|0.0109544064086|1.0|0.6|0.166666666667|2|3|6285|6285
ckan_keywords_age distribution|ckan_subject_society_and_culture|0.0016627902652|1.0|0.008|0.0625|2|18|6285|6285
ckan_keywords_agricultural land|ckan_keywords_species|0.00415597852032|1.0|0.133333333333333|0.00888888888889|2|5|6285|6285
ckan_keywords_agriculture|ckan_keywords_species|0.00415597852032|1.0|0.133333333333333|0.00888888888889|2|5|6285|6285
ckan_keywords_aids|ckan_subject_health_and_safety|0.00223711651412|1.0|0.00224719101123596|0.00390625|2|10|6285|6285
ckan_keywords_ground level ozone|ckan_keywords_air|0.00223711651412|1.0|0.0588235294117647|0.00826446280992|6|2|6285|6285
ckan_keywords_hg|ckan_keywords_air|0.00807043738187|1.0|0.294117647058824|0.0261865094622|6|3|6285|6285
ckan_keywords_natchem|ckan_keywords_air|0.00447419649963|1.0|0.117647058823529|0.0206101418223|6|3|6285|6285
ckan_keywords_networks and studies|ckan_keywords_air|0.00447419649963|1.0|0.117647058823529|0.0206101418223|6|3|6285|6285
ckan_keywords_ozone study|ckan_keywords_air|0.00223711651412|1.0|0.0588235294117647|0.00826446280992|6|2|6285|6285
ckan_keywords_smm|ckan_keywords_air|0.00223711651412|1.0|0.0588235294117647|0.0123456790123|6|2|6285|6285
ckan_keywords_air|ckan_subject_nature_and_environment|0.0232141510804|1.0|0.0568561872909699|0.0697542003171|6|23|6285|6285
ckan_keywords_environmental indicators; air and climate; air quality; ambient levels; air pollutants; ozone; concentrations; monitoring stations; average|ckan_keywords_air - quality|0.00223711651412|1.0|1.0|0.00308641975309|2|2|6285|6285
ckan_keywords_monitoring station|ckan_keywords_air - quality|0.00223711651412|1.0|1.0|0.00308641975309|2|2|6285|6285
